Online Status,image,accession_no,accession_year,title,region,creator,year_period,time_category,object_type,technique,material,description,dimension,credit_line,collection_of,item_id,item_url
On Roots,https://www.roots.gov.sg/CollectionImages/1156163.jpg,2008-04748,2008,Mount Faber Park,Singapore,,c. 1970s,20th century (late),,,,"Telok Blangah Hill was renamed Mount Faber in July 1845 after Captain Charles Edward Faber of the Madras Engineers, who as Superintendent Engineer was responsible for constructing a road and signal station on the hill. The hill was referred to as Bukit Bendara (Flag Hill) by the Malays in reference to the signal station, which was erected to replace the station found on neighbouring Pulau Blakang Mati (now known as Sentosa). Following the Singapore Indian Mutiny of 1857, the colonial government decided to construct a fort on the hill. Although several gun emplacements were constructed on the hill, the fort was never completed. An observatory was built on the hill in 1905 following a recommendation by Mr. R. S. Fry, who was the head of the observatory at nearby Pulau Brani. In 1964, a scenic park was opened on Mount Faber to enable tourists to enjoy panoramic views of Keppel Harbour and the Central Business District.",Object size: 10.2 x 15 cm,,National Museum of Singapore,1156163,https://www.roots.gov.sg/Collection-Landing/listing/1156163
On Roots,https://www.roots.gov.sg/CollectionImages/1157836.jpg,2008-04745,2008,Mount Faber Park,Singapore,,c. 1970s,20th century (late),,,,"Telok Blangah Hill was renamed Mount Faber in July 1845 after Captain Charles Edward Faber of the Madras Engineers, who as Superintendent Engineer was responsible for constructing a road and signal station on the hill. The hill was referred to as Bukit Bendara (Flag Hill) by the Malays in reference to the signal station, which was erected to replace the station found on neighbouring Pulau Blakang Mati (now known as Sentosa). Following the Singapore Indian Mutiny of 1857, the colonial government decided to construct a fort on the hill. Although several gun emplacements were constructed on the hill, the fort was never completed. An observatory was built on the hill in 1905 following a recommendation by Mr. R. S. Fry, who was the head of the observatory at nearby Pulau Brani. In 1964, a scenic park was opened on Mount Faber to enable tourists to enjoy panoramic views of Keppel Harbour and the Central Business District.",Object size: 8.9 x 14 cm,,National Museum of Singapore,1157836,https://www.roots.gov.sg/Collection-Landing/listing/1157836
On Roots,https://www.roots.gov.sg/CollectionImages/1159073.jpg,2008-04752,2008,Sunset view from Mount Faber Park,Singapore,,c. 1970s,20th century (late),,,,"Telok Blangah Hill was renamed Mount Faber in July 1845 after Captain Charles Edward Faber of the Madras Engineers, who as Superintendent Engineer was responsible for constructing a road and signal station on the hill. The hill was referred to as Bukit Bendara (Flag Hill) by the Malays in reference to the signal station, which was erected to replace the station found on neighbouring Pulau Blakang Mati (now known as Sentosa). Following the Singapore Indian Mutiny of 1857, the colonial government decided to construct a fort on the hill. Although several gun emplacements were constructed on the hill, the fort was never completed. An observatory was built on the hill in 1905 following a recommendation by Mr. R. S. Fry, who was the head of the observatory at nearby Pulau Brani. In 1964, a scenic park was opened on Mount Faber to enable tourists to enjoy panoramic views of Keppel Harbour and the Central Business District.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1159073,https://www.roots.gov.sg/Collection-Landing/listing/1159073
On Roots,https://www.roots.gov.sg/CollectionImages/1157241.jpg,2008-04753,2008,Sunset view from Mount Faber Park,Singapore,,c. 1970s,20th century (late),,,,"Telok Blangah Hill was renamed Mount Faber in July 1845 after Captain Charles Edward Faber of the Madras Engineers, who as Superintendent Engineer was responsible for constructing a road and signal station on the hill. The hill was referred to as Bukit Bendara (Flag Hill) by the Malays in reference to the signal station, which was erected to replace the station found on neighbouring Pulau Blakang Mati (now known as Sentosa). Following the Singapore Indian Mutiny of 1857, the colonial government decided to construct a fort on the hill. Although several gun emplacements were constructed on the hill, the fort was never completed. An observatory was built on the hill in 1905 following a recommendation by Mr. R. S. Fry, who was the head of the observatory at nearby Pulau Brani. In 1964, a scenic park was opened on Mount Faber to enable tourists to enjoy panoramic views of Keppel Harbour and the Central Business District.",Object size: 10.2 x 15 cm,,National Museum of Singapore,1157241,https://www.roots.gov.sg/Collection-Landing/listing/1157241
On Roots,https://www.roots.gov.sg/CollectionImages/1155149.jpg,2008-04750,2008,Mount Faber Park,Singapore,,c. 1970s,20th century (late),,,,"Telok Blangah Hill was renamed Mount Faber in July 1845 after Captain Charles Edward Faber of the Madras Engineers, who as Superintendent Engineer was responsible for constructing a road and signal station on the hill. The hill was referred to as Bukit Bendara (Flag Hill) by the Malays in reference to the signal station, which was erected to replace the station found on neighbouring Pulau Blakang Mati (now known as Sentosa). Following the Singapore Indian Mutiny of 1857, the colonial government decided to construct a fort on the hill. Although several gun emplacements were constructed on the hill, the fort was never completed. An observatory was built on the hill in 1905 following a recommendation by Mr. R. S. Fry, who was the head of the observatory at nearby Pulau Brani. In 1964, a scenic park was opened on Mount Faber to enable tourists to enjoy panoramic views of Keppel Harbour and the Central Business District.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1155149,https://www.roots.gov.sg/Collection-Landing/listing/1155149
On Roots,https://www.roots.gov.sg/CollectionImages/1156669.jpg,2008-04751,2008,Mount Faber Park,Singapore,,c. 1970s,20th century (late),,,,"Telok Blangah Hill was renamed Mount Faber in July 1845 after Captain Charles Edward Faber of the Madras Engineers, who as Superintendent Engineer was responsible for constructing a road and signal station on the hill. The hill was referred to as Bukit Bendara (Flag Hill) by the Malays in reference to the signal station, which was erected to replace the station found on neighbouring Pulau Blakang Mati (now known as Sentosa). Following the Singapore Indian Mutiny of 1857, the colonial government decided to construct a fort on the hill. Although several gun emplacements were constructed on the hill, the fort was never completed. An observatory was built on the hill in 1905 following a recommendation by Mr. R. S. Fry, who was the head of the observatory at nearby Pulau Brani. In 1964, a scenic park was opened on Mount Faber to enable tourists to enjoy panoramic views of Keppel Harbour and the Central Business District.",Object size: 10.2 x 15 cm,,National Museum of Singapore,1156669,https://www.roots.gov.sg/Collection-Landing/listing/1156669
On Roots,https://www.roots.gov.sg/CollectionImages/1156036.jpg,2008-04747,2008,Mount Faber Park,Singapore,,c. 1970s,20th century (late),,,,"Telok Blangah Hill was renamed Mount Faber in July 1845 after Captain Charles Edward Faber of the Madras Engineers, who as Superintendent Engineer was responsible for constructing a road and signal station on the hill. The hill was referred to as Bukit Bendara (Flag Hill) by the Malays in reference to the signal station, which was erected to replace the station found on neighbouring Pulau Blakang Mati (now known as Sentosa). Following the Singapore Indian Mutiny of 1857, the colonial government decided to construct a fort on the hill. Although several gun emplacements were constructed on the hill, the fort was never completed. An observatory was built on the hill in 1905 following a recommendation by Mr. R. S. Fry, who was the head of the observatory at nearby Pulau Brani. In 1964, a scenic park was opened on Mount Faber to enable tourists to enjoy panoramic views of Keppel Harbour and the Central Business District.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1156036,https://www.roots.gov.sg/Collection-Landing/listing/1156036
On Roots,https://www.roots.gov.sg/CollectionImages/1131789.jpg,2000-06672,2000,Flagstaff on Government Hill,Singapore,,1840s,19th century,,,,"The flagstaff on Government Hill (present-day Fort Canning) was used to signal the arrival of vessels. It was part of a system of flagstaffs at sites with a commanding view of the entrances to the Singapore River and Harbour. Other flagstaffs were on Mount Faber and Pulau Blakang Mati (present-day Sentosa). The flagstaff on Government Hill was also used to signal the arrival of mail vessels, which in the 1840s took more than a month to convey mail from London to Singapore. A red ensign indicated mail from Europe and a yellow flag, the China mail.",Image size: L:16.0 x W:24.8,,National Museum of Singapore,1131789,https://www.roots.gov.sg/Collection-Landing/listing/1131789
On Roots,https://www.roots.gov.sg/CollectionImages/1140816.jpg,2007-00698,2007,Royal Garrison Artillery marching band at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946. Pulau Blakang Mati was renamed Sentosa (Isle of Tranquillity) in 1970 and was subsequently developed into a tourist and recreation resort.",Image size: 8.8 x 13.8 cm,,National Museum of Singapore,1140816,https://www.roots.gov.sg/Collection-Landing/listing/1140816
On Roots,https://www.roots.gov.sg/CollectionImages/1158833.jpg,2007-00711,2007,Royal Garrison Artillery officer and soldiers at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946. Pulau Blakang Mati was renamed Sentosa (Isle of Tranquillity) in 1970 and was subsequently developed into a tourist and recreation resort.",Image size: 8.9 x 13.8 cm,,National Museum of Singapore,1158833,https://www.roots.gov.sg/Collection-Landing/listing/1158833
On Roots,https://www.roots.gov.sg/CollectionImages/1156615.jpg,2007-00700,2007,Royal Garrison Artillery military parade at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946. Pulau Blakang Mati was renamed Sentosa (Isle of Tranquillity) in 1970 and was subsequently developed into a tourist and recreation resort.",Image size: 8.7 x 13.8 cm,,National Museum of Singapore,1156615,https://www.roots.gov.sg/Collection-Landing/listing/1156615
On Roots,https://www.roots.gov.sg/CollectionImages/1156508.jpg,2007-00712,2007,Royal Garrison Artillery soldiers at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946. Pulau Blakang Mati was renamed Sentosa (Isle of Tranquillity) in 1970 and was subsequently developed into a tourist and recreation resort.",Image size: 8.7 x 13.8 cm,,National Museum of Singapore,1156508,https://www.roots.gov.sg/Collection-Landing/listing/1156508
On Roots,https://www.roots.gov.sg/CollectionImages/1159640.jpg,2007-00713,2007,Royal Garrison Artillery soldiers at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946. Pulau Blakang Mati was renamed Sentosa (Isle of Tranquillity) in 1970 and was subsequently developed into a tourist and recreation resort.",Image size: 8.7 x 13.9 cm,,National Museum of Singapore,1159640,https://www.roots.gov.sg/Collection-Landing/listing/1159640
On Roots,https://www.roots.gov.sg/CollectionImages/1157224.jpg,2007-00699,2007,Royal Garrison Artillery marching band at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946. Pulau Blakang Mati was renamed Sentosa (Isle of Tranquillity) in 1970 and was subsequently developed into a tourist and recreation resort.",Image size: 8.7 x 13.8 cm,,National Museum of Singapore,1157224,https://www.roots.gov.sg/Collection-Landing/listing/1157224
On Roots,https://www.roots.gov.sg/CollectionImages/1156258.jpg,2007-00705,2007,British officers of the Royal Garrison Artillery at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946. Pulau Blakang Mati was renamed Sentosa (Isle of Tranquillity) in 1970 and was subsequently developed into a tourist and recreation resort.",Image size: 8.8 x 13.8 cm,,National Museum of Singapore,1156258,https://www.roots.gov.sg/Collection-Landing/listing/1156258
On Roots,https://www.roots.gov.sg/CollectionImages/1155931.jpg,2007-00702,2007,Royal Garrison Artillery sports meet at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.Besides having a reputation for being fearless and resourceful warriors, the Sikh and Muslim Punjabi soldiers of the unit were also known for being good sportsmen. They excelled in hockey and were some of the best long distance runners in Singapore. The British officers were also actively involved in sports, with many playing in the Garrison football team, which made it to the 1909 Singapore Football Association Cup Final.",Image size: 8.8 x 13.9 cm,,National Museum of Singapore,1155931,https://www.roots.gov.sg/Collection-Landing/listing/1155931
On Roots,https://www.roots.gov.sg/CollectionImages/1159937.jpg,2007-00704,2007,Royal Garrison Artillery sports meet at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.Besides having a reputation for being fearless and resourceful warriors, the Sikh and Muslim Punjabi soldiers of the unit were also known for being good sportsmen. They excelled in hockey and were some of the best long distance runners in Singapore. The British officers were also actively involved in sports, with many playing in the Garrison football team, which made it to the 1909 Singapore Football Association Cup Final.",Image size: 8.9 x 13.8 cm,,National Museum of Singapore,1159937,https://www.roots.gov.sg/Collection-Landing/listing/1159937
On Roots,https://www.roots.gov.sg/CollectionImages/1156222.jpg,2007-00714,2007,Programme of Royal Garrison Artillery regimental sports meet and concert at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,paper,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.Besides having a reputation for being fearless and resourceful warriors, the Sikh and Muslim Punjabi soldiers of the unit were also known for being good sportsmen. They excelled in hockey and were some of the best long distance runners in Singapore. The British officers were also actively involved in sports, with many playing in the Garrison football team, which made it to the 1909 Singapore Football Association Cup Final.",Image size: 19 x 12.8 cm,,National Museum of Singapore,1156222,https://www.roots.gov.sg/Collection-Landing/listing/1156222
On Roots,https://www.roots.gov.sg/CollectionImages/1155308.jpg,2007-00706,2007,Royal Garrison Artillery soldiers on ferry to Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.In the early 20th century, private sampans and Army-contracted steam launches ferried military personnel and civilians between Pulau Blakang Mati and the Jardine Steps landing on the mainland of Singapore. By the 1930s, motorboats were also used to ply the route between the island and the mainland.",Image size: 8.6 x 13.6 cm,,National Museum of Singapore,1155308,https://www.roots.gov.sg/Collection-Landing/listing/1155308
On Roots,https://www.roots.gov.sg/CollectionImages/1156316.jpg,2007-00710,2007,Royal Garrison Artillery soldiers loading equipment onto ferries to Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.In the early 20th century, private sampans and Army-contracted steam launches ferried military personnel and civilians between Pulau Blakang Mati and the Jardine Steps landing on the mainland of Singapore. By the 1930s, motorboats were also used to ply the route between the island and the mainland.",Image size: 8.7 x 13.8 cm,,National Museum of Singapore,1156316,https://www.roots.gov.sg/Collection-Landing/listing/1156316
On Roots,https://www.roots.gov.sg/CollectionImages/1158926.jpg,2007-00709,2007,Royal Garrison Artillery soldiers on ferry to Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.In the early 20th century, private sampans and Army-contracted steam launches ferried military personnel and civilians between Pulau Blakang Mati and the Jardine Steps landing on the mainland of Singapore. By the 1930s, motorboats were also used to ply the route between the island and the mainland.",Image size: 8.8 x 13.8 cm,,National Museum of Singapore,1158926,https://www.roots.gov.sg/Collection-Landing/listing/1158926
On Roots,https://www.roots.gov.sg/CollectionImages/1158274.jpg,2007-00708,2007,Photograph of Keppel Harbour taken from Pulau Blakang Mati (Sentosa) by a Royal Garrison Artillery soldier,Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.Opposite Pulau Blakang Mati, at the southern tip of mainland Singapore, is a deep harbour first noticed by Sir William Farquhar in 1819. Later referred to simply as New Harbour, major development of the area started in the 1850s when the Peninsular and Oriental Steam Navigation Company (P&O) established operations there. In 1900, the strategically important harbour was renamed Keppel Harbour in honour of Admiral Henry Keppel, a British naval officer with strong ties to Singapore.",Image size: 8.8 x 13.8 cm,,National Museum of Singapore,1158274,https://www.roots.gov.sg/Collection-Landing/listing/1158274
On Roots,https://www.roots.gov.sg/CollectionImages/1158235.jpg,2007-00701,2007,Royal Garrison Artillery barracks at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore.Men and officers of the Asiatic Artillery stationed on Pulau Blakang Mati were initially housed in temporary tents, shed and barracks. This increased the unit’s exposure to the elements and resulted in many of the troops catching tropical diseases. By the time the unit was renamed the Royal Garrison Artillery in 1898, facilities on the island had improved considerably. The Garrison was housed in newly-built permanent barracks, with improved sanitation facilities and better water supply.",Image size: 13.8 x 8.8 cm,,National Museum of Singapore,1158235,https://www.roots.gov.sg/Collection-Landing/listing/1158235
On Roots,https://www.roots.gov.sg/CollectionImages/1156507.jpg,2007-00707,2007,Royal Garrison Artillery barracks at Pulau Blakang Mati (Sentosa),Singapore,,1918,20th century (early),,,Gelatin prints,"The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore.Men and officers of the Asiatic Artillery stationed on Pulau Blakang Mati were initially housed in temporary tents, shed and barracks. This increased the unit’s exposure to the elements and resulted in many of the troops catching tropical diseases. By the time the unit was renamed the Royal Garrison Artillery in 1898, facilities on the island had improved considerably. The Garrison was housed in newly-built permanent barracks, with improved sanitation facilities and better water supply.",Image size: 8.8 x 13.8 cm,,National Museum of Singapore,1156507,https://www.roots.gov.sg/Collection-Landing/listing/1156507
On Roots,https://www.roots.gov.sg/CollectionImages/1158589.jpg,2007-00703,2007,Photograph of the Jamae Mosque taken by a Royal Garrison Artillery soldier,Singapore,,1918,20th century (early),,,Gelatin prints,"The original structure of the Jamae Mosque was built sometime in 1826-1827 along South Bridge Road by the Tamil Muslim Chulia merchant community, under the leadership of Anser Saib. A more permanent structure was erected between 1830 and 1835, which consisted of a main gateway done in the South Indian style, with a miniature palace facade flanked by two domed-topped minarets. The interior shrine and prayer halls, however, display European neoclassical and Chinese architectural influences. Gazetted as a national monument in 1974, the mosque has been under the charge of the Islamic Religious Council of Singapore (Majlis Ugama Islam Singapura) since 1968.The Hong Kong and Singapore Battalion Royal Garrison Artillery (or Royal Garrison Artillery in short) was a British military unit comprised of Sikh and Muslim troops from Punjabi commanded by British officers. Originally formed in Hong Kong in 1841 as the China Gun Lascars, it was subsequently renamed the Hong Kong Asiatic Artillery in 1891. A Singapore Company of Asiatic Artillery was established that same year and assigned to man the coastal batteries at Pulau Blakang Mati (Island Behind Death), which was an important military base used by the British for the defence of the port of Singapore. Renamed the Royal Garrison Artillery in 1898, the unit later became involved in the suppression of the Singapore Indian Mutiny of 1915. In 1934, the unit underwent another name change to become the Hong Kong and Singapore Royal Artillery, and was finally disbanded in 1946.",Image size: 8.7 x 13.7 cm,,National Museum of Singapore,1158589,https://www.roots.gov.sg/Collection-Landing/listing/1158589
On Roots,https://www.roots.gov.sg/CollectionImages/1072679.jpg,1994-04894,1994,View of the Temenggong’s village at Telok Blangah and St. James,Singapore,,1870s,19th century,"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","The photograph shows Telok Blangah Village before 1876, clustered below Guthrie’s bungalow on the hilltop, and occupied by the Temenggong and his followers. The mood of the landscape is keenly emphasised by the poignant placement of the Malay man in traditional dress looking across the foothills of Mount Faber towards the Malay village. On the left, the burgeoning port facilities at the Jardine Matheson & Co. wharf signal the eventual end of this idyllic village life as global trade in the form of international steam-powered shipping meant that yet more land would be appropriated for new port facilities. Pulau Brani and Pulau Blakang Mati (today’s Sentosa Island) cut across the horizon in the background leading the viewer’s eye towards St. James, the whimsical name given to the residence at Tanjong Aur by its merchant owner, James Guthrie, the founder of Guthrie & Co.",Image size: 19.4 x 25.9 cm,,National Museum of Singapore,1072679,https://www.roots.gov.sg/Collection-Landing/listing/1072679
